[MS Spectrum]	
# of Peaks	314
Raw Spectrum	2.117 (scan : 71)
Background	No Background Spectrum
Base Peak	m/z 43.10 (Inten : 13,585)
Event#	1
m/z	Absolute Intensity
301.20	27
309.20	21
313.20	5
314.20	9
318.20	15
320.20	3
322.20	2
323.20	25
327.20	1
328.20	5
329.20	2
330.20	4
331.20	9
333.20	34
339.20	10
340.20	101
342.20	40
343.20	19
345.20	4
346.20	32
348.20	42
349.20	39
351.20	4
355.20	9
356.20	53
357.20	5
359.20	32
364.20	22
365.20	54
369.20	16
370.20	27
371.20	29
373.20	16
374.20	2
375.20	44
379.20	18
383.20	19
390.20	11
395.20	23
399.20	10
400.20	16
[MS Spectrum]	
# of Peaks	212
Raw Spectrum	2.523 -> 2.527 (scan : 315 -> 317)
Background	2.495 <-> 2.562 (scan : 298 <-> 338)
Base Peak	m/z 83.15 (Inten : 45,017)
Event#	1
m/z	Absolute Intensity
37.00	51
38.15	375
39.10	8456
40.05	1398
41.10	20600
42.10	12925
43.10	4051
44.05	94
45.10	235
46.10	25
47.10	73
49.10	42
50.10	301
51.00	559
52.00	356
53.10	2599
54.15	2157
55.10	44477
56.10	12989
57.10	2606
58.10	53
61.10	21
62.10	100
63.10	99
64.10	35
65.10	650
66.10	111
67.10	2595
68.10	4415
69.10	9181
70.15	8975
71.10	435
72.10	39
73.10	85
74.10	18
75.10	56
76.10	26
77.10	548
79.10	273
80.10	20
81.15	998
82.15	8747
83.15	45017
84.10	3055
85.10	184
86.10	13
87.10	14
89.10	8
91.10	78
92.10	3
93.10	2
95.10	26
96.10	184
97.15	1349
98.15	20823
99.10	1712
100.10	25
102.10	45
103.10	54
104.10	12
109.10	17
110.10	6
111.10	24
112.10	35
115.10	61
117.10	9
118.10	23
119.10	10
122.10	6
123.10	6
125.10	6
129.10	56
132.10	31
133.10	3
136.10	31
140.10	51
144.10	14
145.10	8
146.10	27
148.10	31
157.10	5
159.10	21
162.10	42
168.10	7
170.10	33
173.10	17
175.10	23
178.10	4
179.10	7
180.10	35
182.10	16
184.10	21
185.10	32
186.10	13
189.10	1
194.10	39
200.10	37
202.10	10
203.10	2
204.10	5
206.10	15
209.10	50
211.10	18
212.10	31
213.10	18
214.10	44
219.10	23
220.10	11
221.10	20
223.10	49
224.10	14
225.10	42
227.10	6
228.10	21
229.10	6
230.10	38
232.10	12
233.10	2
234.10	59
235.10	12
236.10	32
238.10	14
239.10	9
240.10	1
241.10	18
242.10	1
243.10	22
244.10	30
245.10	24
246.10	70
249.10	57
250.10	46
254.10	58
260.10	31
263.10	20
265.10	7
267.10	3
270.10	3
272.10	9
274.10	9
275.10	19
279.10	1
283.10	1
284.10	6
285.10	34
288.10	10
291.10	22
294.10	50
296.10	27
298.10	9
300.10	25
304.10	6
305.10	30
308.10	2
309.10	17
310.10	14
311.10	6
312.10	32
313.10	29
314.10	1
317.10	1
318.10	21
319.10	5
320.10	11
322.10	13
324.10	47
325.10	5
326.10	34
329.10	36
330.10	23
331.10	9
332.10	19
333.10	15
335.10	16
336.10	31
337.10	2
338.10	31
339.10	54
341.10	22
342.10	27
343.10	42
345.10	4
346.10	26
351.10	31
352.10	16
353.10	65
354.10	1
355.10	44
359.10	8
360.10	78
361.10	43
364.10	6
365.10	19
366.10	22
367.10	16
372.10	53
373.10	27
374.10	22
375.10	5
376.10	24
377.10	10
379.10	23
382.10	15
384.10	24
386.10	44
389.10	28
390.10	17
392.10	23
394.10	24
396.10	1
397.10	23
400.10	11
[MS Spectrum]	
# of Peaks	183
Raw Spectrum	2.590 -> 2.593 (scan : 355 -> 357)
Background	2.565 <-> 2.625 (scan : 340 <-> 376)
Base Peak	m/z 43.10 (Inten : 3,704)
Event#	1
m/z	Absolute Intensity
37.00	6
38.00	87
39.10	964
40.05	580
41.10	3391
42.10	1491
43.10	3704
44.05	212
45.10	52
46.10	24
47.10	56
49.10	39
50.10	67
51.10	75
53.10	393
54.10	135
55.05	1496
56.15	1610
57.20	1071
58.10	1412
59.10	61
60.10	28
61.10	48
62.10	86
63.10	25
65.10	119
66.10	18
67.10	529
68.10	2553
69.15	3331
70.10	1621
71.10	45
75.10	15
77.10	15
80.10	49
81.10	72
83.10	193
85.15	476
87.20	40
88.20	11
89.20	27
90.20	8
95.20	1
96.10	13
97.10	19
98.20	397
99.20	70
100.20	352
101.10	34
103.10	48
104.20	23
105.10	29
107.10	79
108.20	24
111.20	2
114.10	12
115.10	19
116.10	12
117.20	1
120.20	51
124.20	29
125.10	68
130.10	35
131.10	11
133.10	54
134.10	2
135.10	40
136.20	12
137.10	26
138.20	10
147.10	36
151.10	28
156.10	57
157.20	17
159.10	1
161.10	29
162.10	14
163.20	2
166.10	13
167.10	29
168.10	1
169.10	18
172.10	15
180.10	18
183.20	3
186.10	31
190.10	33
199.20	14
200.20	16
201.10	1
202.20	14
204.10	5
210.10	26
211.10	6
213.20	24
214.10	34
216.20	11
221.10	57
223.20	4
225.20	17
226.10	15
229.20	9
232.10	15
233.10	2
235.10	11
237.20	7
240.10	40
246.10	4
248.10	31
253.10	32
255.10	4
258.10	15
259.20	7
267.10	39
271.10	3
272.10	32
274.20	12
276.10	12
279.10	31
280.20	4
282.10	1
283.20	1
289.20	3
297.20	12
298.10	22
300.10	32
302.20	9
303.20	40
307.20	24
308.20	38
312.20	28
313.20	50
315.10	7
316.20	16
317.10	28
318.20	31
320.10	84
321.10	10
322.20	5
325.20	48
326.20	17
327.20	28
328.10	27
329.10	25
330.10	20
331.10	34
332.20	19
333.10	20
335.20	6
336.20	17
344.10	46
346.20	43
350.10	13
352.10	37
353.10	36
355.10	32
356.10	2
357.20	21
362.10	9
363.10	6
365.20	28
366.10	24
367.10	38
368.20	18
370.10	8
371.10	36
372.10	2
374.10	25
375.20	75
376.20	8
378.10	33
379.10	14
380.20	24
381.10	36
383.10	40
384.10	53
385.10	28
394.10	41
395.10	13
396.20	5
397.10	22
398.20	6
400.10	5
[MS Spectrum]	
# of Peaks	216
Raw Spectrum	2.712 -> 2.715 (scan : 428 -> 430)
Background	2.688 <-> 2.755 (scan : 414 <-> 454)
Base Peak	m/z 43.10 (Inten : 29,354)
Event#	1
m/z	Absolute Intensity
36.00	13
37.00	143
38.10	543
39.10	3327
40.05	89
41.10	13172
42.10	3663
43.10	29354
44.05	1867
45.05	2321
46.00	184
47.00	212
48.00	12
49.00	92
50.10	100
52.00	25
53.00	302
55.10	1364
59.10	139
60.00	458
61.10	25
62.10	4
63.10	9
64.10	16
67.10	31
69.10	67
71.05	703
73.10	7973
74.10	395
75.10	2
76.10	10
77.10	118
78.10	25
80.10	47
81.10	60
82.10	42
84.10	51
87.10	250
88.10	2547
89.10	95
93.10	35
94.10	2
95.10	46
97.10	53
99.10	26
101.10	45
103.10	36
104.10	15
105.10	41
106.10	47
107.10	27
108.10	14
111.10	15
113.10	61
114.10	14
115.10	1
117.10	13
118.10	3
119.10	23
122.10	16
124.10	16
127.10	37
129.10	15
132.10	29
133.10	85
134.10	10
138.10	19
139.10	25
142.10	27
143.10	33
144.10	25
153.10	10
154.10	34
155.10	37
156.10	6
157.10	59
158.10	36
159.10	46
160.10	36
162.10	5
164.10	31
165.10	29
166.10	22
167.10	17
168.10	11
170.10	6
171.10	17
172.10	11
173.10	36
174.10	54
175.10	3
176.10	18
177.10	22
178.10	5
180.10	7
181.10	35
182.10	34
183.10	23
184.10	4
185.10	14
187.10	34
189.10	8
190.10	14
191.10	114
193.10	1
198.10	13
199.10	31
201.10	9
204.10	2
206.10	12
207.10	102
208.10	21
209.10	76
210.10	17
211.10	2
215.10	43
216.10	1
217.10	17
218.10	14
219.10	10
221.10	31
223.10	31
225.10	64
226.10	26
227.10	8
231.10	20
232.10	55
234.10	15
235.10	36
236.10	26
237.10	52
239.10	14
241.10	30
242.10	53
245.10	8
247.10	54
249.10	15
251.10	51
253.10	18
256.10	2
257.10	31
258.10	4
261.10	12
262.10	13
265.10	21
266.10	24
267.10	60
268.10	33
270.10	34
274.10	9
275.10	22
276.10	38
279.10	21
280.10	9
281.10	34
282.10	6
283.10	7
285.10	3
286.10	9
287.10	40
288.10	13
289.10	12
290.10	32
292.10	17
296.10	37
299.10	19
300.10	15
301.10	33
302.10	11
303.10	4
304.10	30
305.10	39
306.10	14
309.10	4
310.10	31
312.10	53
314.10	28
315.10	26
318.10	10
323.10	49
324.10	13
325.10	9
326.10	50
327.10	25
328.10	22
331.10	17
336.10	19
337.10	5
342.10	41
345.10	2
347.10	10
350.10	5
351.10	64
352.10	47
354.10	26
356.10	11
357.10	7
358.10	11
359.10	20
365.10	8
367.10	23
370.10	24
371.10	13
373.10	18
376.10	24
379.10	44
380.10	10
381.10	55
383.10	10
385.10	7
389.10	3
390.10	51
392.10	35
393.10	9
395.10	8
398.10	36
[MS Spectrum]	
# of Peaks	178
Raw Spectrum	2.800 -> 2.803 (scan : 481 -> 483)
Background	2.755 <-> 2.828 (scan : 454 <-> 498)
Base Peak	m/z 91.10 (Inten : 29,715)
Event#	1
m/z	Absolute Intensity
36.10	31
37.10	153
38.15	701
39.10	3720
40.05	1087
41.10	1138
42.10	3102
43.10	454
45.15	1937
46.10	565
47.10	13
48.10	47
49.10	115
50.10	941
51.10	1761
52.10	293
53.10	332
54.10	74
55.10	2204
56.10	146
58.10	45
61.10	434
62.05	713
63.05	2374
64.10	361
65.05	3874
66.10	417
